1.62422	74.3689
3.32441	153.78
5.06465	234.887
6.7791	314.989
6.88223	320.757
6.84492	318.243
6.81777	317.942
6.7791	317.012
6.79199	316.768
6.80488	320.812
6.65156	314.21
6.61152	314.223
6.48262	309.817
6.49551	310.103
8.11973	385.855
8.3002	393.536
6.79199	318.293
6.68887	315.816
6.62441	316.386
6.49551	307.727
8.3002	388.506
8.4291	394.377
7.07559	326.386
7.1916	327.89
7.03691	322.991
6.84492	313.577
6.68887	304.73
6.70176	305.642
6.66309	305.608
6.94668	319.4
6.97383	322.34
6.79199	319.459
6.85645	319.766
6.85645	319.838
6.70176	311.438
6.93516	314.729
6.80488	310.27
7.05215	319.149
8.87207	396.774
6.96426	313.957
6.92695	314.426
8.36934	384.291
6.32793	302.401
6.46973	306.904
6.5084	309.542
6.85781	321.926
7.11426	326.3
7.01113	326.681
8.50644	397.223
7.0627	323.959
7.21875	332.253
7.41074	340.215
7.48809	342.436
7.34629	339.513
7.10137	335.164
7.11562	332.905
7.21738	339.59
7.11426	335.945
7.24316	339.436
7.34629	345.836
8.95762	418.918
7.32051	340.302
7.39785	344.313
7.42363	343.359
7.39785	343.184
7.46367	346.934
7.35918	342.052
7.28184	342.464
7.16582	338.574
8.94473	422.123
7.21875	341.042
9.03496	423.353
7.34629	339.676
7.30762	335.859
7.32051	335.764
8.91895	411.63
8.76426	408.448
8.80293	409.067
8.88262	407.996
7.15527	327.225
8.77949	405.956
7.00059	324.309
8.72793	403.924
7.01113	326.714
7.1916	329.774
8.82871	407.384
7.14004	325.811
7.07559	325.149
6.98535	324.207
7.17871	328.725
7.23164	335.892
7.1916	335.252
7.35918	340.407
7.25605	337.506
7.07559	327.307
7.10273	327.731
7.0627	322.071
7.07559	322.547
7.42363	339.521
7.56543	343.789
7.41211	342.525
7.50332	345.265
9.10176	419.798
7.20684	333.263
7.30996	334.835
7.36289	338.111
7.33574	329.257
7.3873	333.198
7.29707	327.84
7.30996	326.822
7.12852	330.186
6.6373	302.73
6.78145	304.135
6.88457	306.425
6.9748	305.97
7.56914	335.245
7.30762	330.624
7.32051	331.427
7.20449	330.276
7.0498	326.261
7.02539	325.869
6.99824	325.296
7.03691	329.841
6.98535	327.346
6.95957	326.229
6.81914	326.55
6.75332	321.771
6.7791	323.683
6.79199	327.85
6.9209	329.388
7.23164	342.922
7.20449	340.756
7.20449	341.073
7.16582	342.569
7.14004	344.63
7.06406	342.463
7.14004	341.642
8.82871	421.078
7.10137	331.979
7.15293	330.849
8.8416	409.99
8.97051	412.073
9.03496	410.833
8.9834	409.679
7.23027	328.275
9.00918	410.891
7.0627	327.766
7.15293	329.367
7.20449	330.028
7.25605	331.35
7.47656	340.526
7.30762	331.786
7.43652	341.732
7.41074	338.854
7.42363	337.964
7.68281	352.433
7.7459	351.402
7.7459	352.16
7.55254	347.518
7.55488	344.833
7.33711	342.182
7.23262	340.07
7.41543	342.164
9.23535	422.589
7.33809	334.176
9.1041	417.759
7.23262	332.791
7.10137	335.287
7.16582	336.365
7.30762	343.263
7.30898	344.524
7.6041	350.687
7.51387	347.707
7.42363	344.182
7.34629	343.495
7.03828	331.724
7.15293	332.445
7.03691	331.392
6.94668	330.783
6.99824	331.43
6.92227	329.76
7.0627	331.158
7.34629	336.507
7.3334	333.754
8.81582	400.264
7.27031	332.756
9.14043	415.148
9.10176	412.296
8.99863	413.017
7.1166	326.136
7.2082	327.237
7.15527	326.514
8.94707	407.33
9.18145	408.416
7.4002	329.194
9.14043	408.682
9.11465	406.757
7.30762	330.32
7.25605	328.491
7.3334	333.439
7.38633	336.681
7.51621	338.774
7.47754	339.316
7.28418	336.254
7.23262	336.814
7.05117	333.768
7.0627	331.304
7.10137	328.571
7.23027	332.426
7.23027	333.153
7.32188	340.948
7.28184	340.608
7.14004	338.657
6.88223	328.486
6.40527	308.004
6.61289	316.705
6.96191	320.679
7.09082	324.363
7.4002	340.093
7.50332	341.658
7.34766	340.86
7.43652	341.887
7.30762	332.658
7.32051	333.662
7.03691	324.841
7.07695	327.096
7.23027	330.412
7.30762	333.027
7.39785	332.79
7.35918	331.364
7.38633	333.666
7.35918	330.897
7.50332	334.301
7.3873	330.118
7.44121	326.944
7.48125	328.544
7.51855	329.833
7.51855	328.135
7.33574	326.412
